"","svspp","NOAA_label","validated_species","genus","subfamily","family","order","class","super_class"
"123",171,"Prionotus carolinus","Prionotus carolinus","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"124",172,"Prionotus evolans","Prionotus evolans","Prionotus","Prionotinae","Triglidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"125",173,"Peristedion miniatum","Peristedion miniatum","Peristedion",NA,"Peristediidae","Perciformes/Scorpaenoidei","Teleostei","Osteichthyes"
"126",175,"Dactylopterus volitans","Dactylopterus volitans","Dactylopterus",NA,"Dactylopteridae","Dactylopteriformes","Teleostei","Osteichthyes"
"127",176,"Tautogolabrus adspersus","Tautogolabrus adspersus","Tautogolabrus",NA,"Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"128",177,"Tautoga onitis","Tautoga onitis","Tautoga",NA,"Labridae","Eupercaria/misc","Teleostei","Osteichthyes"
"129",179,"Astroscopus guttatus","Astroscopus guttatus","Astroscopus",NA,"Uranoscopidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"130",180,"Pholis gunnellus","Pholis gunnellus","Pholis","Pholinae","Pholidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"131",181,"Ammodytes dubius","Ammodytes dubius","Ammodytes",NA,"Ammodytidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"132",182,"Lumpenus lumpretaeformis","Lumpenus lampretaeformis","Lumpenus",NA,"Lumpenidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"133",183,"Lumpenus maculatus","Leptoclinus maculatus","Leptoclinus",NA,"Lumpenidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"134",184,"Ulvaria subbifurcata","Ulvaria subbifurcata","Ulvaria","Stichaeinae","Stichaeidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"135",185,"Opsanus tau","Opsanus tau","Opsanus","Batrachoidinae","Batrachoididae","Batrachoidiformes","Teleostei","Osteichthyes"
"136",186,"Otophidium omostigmum","Otophidium omostigma","Otophidium","Ophidiinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"137",187,"Mullus auratus","Mullus auratus","Mullus",NA,"Mullidae","Mulliformes","Teleostei","Osteichthyes"
"138",188,"Ophidion marginatum","Ophidion marginatum","Ophidion","Ophidiinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"139",190,"Lycenchelys verrilli","Lycenchelys verrillii","Lycenchelys","Lycodinae","Zoarcidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"140",191,"Cryptacanthodes maculatus","Cryptacanthodes maculatus","Cryptacanthodes",NA,"Cryptacanthodidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"141",192,"Anarhichas lupus","Anarhichas lupus","Anarhichas",NA,"Anarhichadidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"142",193,"Macrozoarces americanus","Zoarces americanus","Zoarces","Zoarcinae","Zoarcidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"143",194,"Lepophidium profundorum","Lepophidium profundorum","Lepophidium","Ophidiinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes"
"144",195,"Lagocephalus laevigatus","Lagocephalus laevigatus","Lagocephalus","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"145",196,"Sphoeroides maculatus","Sphoeroides maculatus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"146",197,"Lophius americanus","Lophius americanus","Lophius",NA,"Lophiidae","Lophiiformes","Teleostei","Osteichthyes"
"147",198,"Chilomycterus schoepfi","Chilomycterus schoepfii","Chilomycterus",NA,"Diodontidae","Tetraodontiformes","Teleostei","Osteichthyes"
"148",199,"Dibranchus atlanticus","Dibranchus atlanticus","Dibranchus",NA,"Ogcocephalidae","Lophiiformes","Teleostei","Osteichthyes"
"149",201,"Monacanthus hispidus","Stephanolepis hispida","Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"150",202,"Balistes capriscus","Balistes capriscus","Balistes",NA,"Balistidae","Tetraodontiformes","Teleostei","Osteichthyes"
"151",203,"Seriola dumerili","Seriola dumerili","Seriola","Naucratinae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"152",204,"Seriola zonata","Seriola zonata","Seriola","Naucratinae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"153",205,"Scomberesox saurus","Scomberesox saurus","Scomberesox",NA,"Scomberesocidae","Beloniformes","Teleostei","Osteichthyes"
"154",206,"Ogcocephalus corniger","Ogcocephalus corniger","Ogcocephalus",NA,"Ogcocephalidae","Lophiiformes","Teleostei","Osteichthyes"
"155",207,"Hyperoglyphe perciformis","Hyperoglyphe perciformis","Hyperoglyphe",NA,"Centrolophidae","Scombriformes","Teleostei","Osteichthyes"
"156",208,"Decapterus macarellus","Decapterus macarellus","Decapterus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"157",209,"Selar crumenophthalmus","Selar crumenophthalmus","Selar","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"158",210,"Diaphus dumerili","Diaphus dumerilii","Diaphus","Diaphinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"159",211,"Decapterus punctatus","Decapterus punctatus","Decapterus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"160",212,"Trachurus lathami","Trachurus lathami","Trachurus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"161",213,"Ariomma bondi","Ariomma bondi","Ariomma",NA,"Ariommatidae","Scombriformes","Teleostei","Osteichthyes"
"162",227,"Nesiarchus nasutus","Nesiarchus nasutus","Nesiarchus",NA,"Gempylidae","Scombriformes","Teleostei","Osteichthyes"
"163",228,"Stomias boa","Stomias boa","Stomias","Stomiinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes"
"164",229,"Maurolicus weitzmani","Maurolicus weitzmani","Maurolicus","Maurolicinae","Sternoptychidae","Stomiiformes","Teleostei","Osteichthyes"
"165",232,"Chlorophthalmus agassizi","Chlorophthalmus agassizi","Chlorophthalmus",NA,"Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes"
"166",234,"Gonostoma atlanticum","Gonostoma atlanticum","Gonostoma",NA,"Gonostomatidae","Stomiiformes","Teleostei","Osteichthyes"
"167",235,"Gonostoma elongatum","Sigmops elongatus","Sigmops",NA,"Gonostomatidae","Stomiiformes","Teleostei","Osteichthyes"
"168",237,"Polymetme thaeocoryla","Polymetme thaeocoryla","Polymetme",NA,"Phosichthyidae","Stomiiformes","Teleostei","Osteichthyes"
"169",239,"Benthodesmus simonyi","Benthodesmus simonyi","Benthodesmus","Aphanopodinae","Trichiuridae","Scombriformes","Teleostei","Osteichthyes"
"170",240,"Chauliodus sloani","Chauliodus sloani","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes"
"171",241,"Chauliodus danae","Chauliodus danae","Chauliodus","Chauliodontinae","Stomiidae","Stomiiformes","Teleostei","Osteichthyes"
"172",242,"Parasudis truculenta","Parasudis truculenta","Parasudis",NA,"Chlorophthalmidae","Aulopiformes","Teleostei","Osteichthyes"
"173",245,"Paralepis coregonoides","Paralepis coregonoides","Paralepis",NA,"Paralepididae","Aulopiformes","Teleostei","Osteichthyes"
"174",246,"Arctozenus rissoi","Arctozenus risso","Arctozenus",NA,"Paralepididae","Aulopiformes","Teleostei","Osteichthyes"
"175",250,"Argyropelecus aculeatus","Argyropelecus aculeatus","Argyropelecus","Sternoptychinae","Sternoptychidae","Stomiiformes","Teleostei","Osteichthyes"
"176",251,"Polyipnus clarus","Polyipnus clarus","Polyipnus","Sternoptychinae","Sternoptychidae","Stomiiformes","Teleostei","Osteichthyes"
"177",260,"Careproctus ranula","Careproctus ranula","Careproctus",NA,"Liparidae","Perciformes/Cottoidei","Teleostei","Osteichthyes"
"178",261,"Hoplostethus mediterraneus","Hoplostethus mediterraneus","Hoplostethus",NA,"Trachichthyidae","Trachichthyiformes","Teleostei","Osteichthyes"
"179",262,"Melanostigma atlanticum","Melanostigma atlanticum","Melanostigma","Gymnelinae","Zoarcidae","Perciformes/Zoarcoidei","Teleostei","Osteichthyes"
"180",263,"Polymixia lowei","Polymixia lowei","Polymixia",NA,"Polymixiidae","Polymixiiformes","Teleostei","Osteichthyes"
"181",264,"Polymixia nobilis","Polymixia nobilis","Polymixia",NA,"Polymixiidae","Polymixiiformes","Teleostei","Osteichthyes"
"182",265,"Mola mola","Mola mola","Mola",NA,"Molidae","Tetraodontiformes","Teleostei","Osteichthyes"
"183",266,"Hoplostethus occidentalis","Hoplostethus occidentalis","Hoplostethus",NA,"Trachichthyidae","Trachichthyiformes","Teleostei","Osteichthyes"
"184",268,"Gephyroberyx darwini","Gephyroberyx darwinii","Gephyroberyx",NA,"Trachichthyidae","Trachichthyiformes","Teleostei","Osteichthyes"
"185",270,"Rhinoptera bonasus","Rhinoptera bonasus","Rhinoptera",NA,"Rhinopteridae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"186",271,"Aetobatis narinari","Aetobatus narinari","Aetobatus",NA,"Aetobatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"187",280,"Malacocephalus occidentalis","Malacocephalus occidentalis","Malacocephalus",NA,"Macrouridae","Gadiformes","Teleostei","Osteichthyes"
"188",352,"Isurus oxyrinchus","Isurus oxyrinchus","Isurus",NA,"Lamnidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"189",353,"Lamna nasus","Lamna nasus","Lamna",NA,"Lamnidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"190",355,"Carcharhinus falciformis","Carcharhinus falciformis","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"191",360,"Rhizoprionodon terraenovae","Rhizoprionodon terraenovae","Rhizoprionodon",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"192",362,"Sphyrna lewini","Sphyrna lewini","Sphyrna",NA,"Sphyrnidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
